站点编号,小时(0-23),日期类型,预测借出量,预测归还量
S010,14,工作日,6.6,6.8
S010,15,工作日,6.4,8.0
S010,16,工作日,7.4,6.8
S010,17,工作日,19.6,19.4
S010,18,工作日,18.6,20.0
S010,19,工作日,19.4,17.2
S010,20,工作日,5.4,6.0
S010,21,工作日,6.6,6.6
S010,22,工作日,7.2,7.4
S010,23,工作日,8.6,6.8
S011,0,工作日,0.4,0.6
S011,1,工作日,1.2,1.4
S011,2,工作日,1.6,0.8
S011,3,工作日,0.2,0.8
S011,4,工作日,1.0,0.8
S011,5,工作日,0.8,1.2
S011,6,工作日,5.4,6.6
S011,7,工作日,20.0,19.6
S011,8,工作日,20.0,19.4
S011,9,工作日,20.0,19.6
S011,10,工作日,7.4,5.8
S011,11,工作日,11.2,13.0
S011,12,工作日,14.0,14.2
S011,13,工作日,13.2,11.8
S011,14,工作日,7.4,7.0
S011,15,工作日,7.0,5.8
S011,16,工作日,7.8,6.8
S011,17,工作日,20.0,17.8
S011,18,工作日,19.6,19.8
S011,19,工作日,19.4,18.4
S011,20,工作日,8.4,5.4
S011,21,工作日,8.2,6.4
S011,22,工作日,6.6,7.4
S011,23,工作日,6.6,5.0
S012,0,工作日,1.6,0.6
S012,1,工作日,0.4,0.4
S012,2,工作日,0.4,0.6
S012,3,工作日,1.0,0.6
S012,4,工作日,1.8,1.0
S012,5,工作日,0.6,0.2
S012,6,工作日,7.0,8.6
S012,7,工作日,25.4,24.0
S012,8,工作日,25.2,23.2
S012,9,工作日,24.2,26.0
S012,10,工作日,7.2,6.2
S012,11,工作日,13.2,12.6
S012,12,工作日,12.2,14.2
S012,13,工作日,12.0,11.6
S012,14,工作日,7.6,7.0
S012,15,工作日,8.0,6.8
S012,16,工作日,6.6,7.0
S012,17,工作日,22.2,22.6
S012,18,工作日,22.8,19.4
S012,19,工作日,21.6,20.4
S012,20,工作日,7.2,5.8
S012,21,工作日,7.6,6.6
S012,22,工作日,7.4,7.6
S012,23,工作日,8.6,8.0
S013,0,工作日,0.4,1.4
S013,1,工作日,0.6,0.2
S013,2,工作日,1.4,0.6
S013,3,工作日,0.0,0.2
S013,4,工作日,0.8,0.6
S013,5,工作日,0.8,0.6
S013,6,工作日,6.2,7.0
S013,7,工作日,16.0,16.0
S013,8,工作日,16.0,16.0
S013,9,工作日,16.0,16.0
S013,10,工作日,6.0,8.4
S013,11,工作日,12.6,12.0
S013,12,工作日,11.2,11.8
S013,13,工作日,14.2,14.4
S013,14,工作日,8.0,8.8
S013,15,工作日,6.6,6.8
S013,16,工作日,5.8,7.0
S013,17,工作日,16.0,16.0
S013,18,工作日,16.0,15.0
S013,19,工作日,16.0,16.0
S013,20,工作日,6.4,8.4
S013,21,工作日,7.0,7.8
S013,22,工作日,6.8,7.8
S013,23,工作日,7.2,7.6
S014,0,工作日,1.4,0.8
S014,1,工作日,1.6,0.8
S014,2,工作日,0.8,1.2
S014,3,工作日,0.4,1.0
S014,4,工作日,1.6,0.4
S014,5,工作日,1.0,1.2
S014,6,工作日,5.6,7.8
S014,7,工作日,23.8,23.8
S014,8,工作日,25.4,24.2
S014,9,工作日,23.8,22.4
S014,10,工作日,6.6,7.2
S014,11,工作日,12.0,11.0
S014,12,工作日,11.6,12.0
S014,13,工作日,11.2,12.6
S014,14,工作日,7.8,8.0
S014,15,工作日,6.0,6.8
S014,16,工作日,6.4,8.0
S014,17,工作日,20.8,21.6
S014,18,工作日,22.6,21.8
S014,19,工作日,20.8,20.4
S014,20,工作日,6.8,8.0
S014,21,工作日,8.0,8.2
S014,22,工作日,7.0,7.2
S014,23,工作日,8.0,7.4
S015,0,工作日,1.0,0.4
S015,1,工作日,1.6,1.0
S015,2,工作日,1.6,1.2
S015,3,工作日,0.4,1.2
S015,4,工作日,0.4,0.8
S015,5,工作日,0.4,1.0
S015,6,工作日,8.0,7.0
S015,7,工作日,16.0,16.0
S015,8,工作日,16.0,16.0
S015,9,工作日,16.0,16.0
S015,10,工作日,7.4,6.2
S015,11,工作日,12.4,12.0
S015,12,工作日,13.2,11.8
S015,13,工作日,12.6,13.0
S015,14,工作日,7.6,8.0
S015,15,工作日,6.8,8.2
S015,16,工作日,8.4,8.8
S015,17,工作日,16.0,15.6
S015,18,工作日,16.0,16.0
S015,19,工作日,16.0,15.6
S015,20,工作日,6.2,8.0
S015,21,工作日,6.0,7.2
S015,22,工作日,8.8,8.8
S015,23,工作日,7.6,7.6
S016,0,工作日,1.8,0.4
S016,1,工作日,1.2,0.4
S016,2,工作日,0.2,0.8
S016,3,工作日,0.6,1.2
S016,4,工作日,2.0,0.4
S016,5,工作日,1.6,1.0
S016,6,工作日,8.2,5.2
S016,7,工作日,24.4,25.4
S016,8,工作日,25.4,24.4
S016,9,工作日,25.2,25.4
S016,10,工作日,8.6,6.8
S016,11,工作日,11.8,12.8
S016,12,工作日,11.2,10.6
S016,13,工作日,11.2,15.0
S016,14,工作日,7.0,7.2
S016,15,工作日,7.6,7.0
S016,16,工作日,6.2,7.8
S016,17,工作日,20.0,22.0
S016,18,工作日,21.6,20.4
S016,19,工作日,19.6,24.2
S016,20,工作日,8.6,5.8
S016,21,工作日,7.8,7.2
S016,22,工作日,7.0,6.0
S016,23,工作日,7.4,7.8
S017,0,工作日,0.4,0.2
S017,1,工作日,0.4,1.4
S017,2,工作日,2.2,1.2
S017,3,工作日,0.8,0.4
S017,4,工作日,0.8,0.6
S017,5,工作日,0.2,0.0
S017,6,工作日,5.8,5.0
S017,7,工作日,16.8,19.0
S017,8,工作日,17.8,15.8
S017,9,工作日,16.6,16.8
S017,10,工作日,4.6,5.4
S017,11,工作日,9.4,9.6
S017,12,工作日,10.6,8.6
S017,13,工作日,7.8,9.4
S017,14,工作日,6.4,6.0
S017,15,工作日,6.0,4.8
S017,16,工作日,4.6,4.2
S017,17,工作日,14.2,13.6
S017,18,工作日,14.6,16.2
S017,19,工作日,13.4,16.6
S017,20,工作日,3.8,4.2
S017,21,工作日,5.4,4.2
S017,22,工作日,4.4,4.6
S017,23,工作日,5.6,4.2
S018,0,工作日,2.6,0.6
S018,1,工作日,1.2,0.2
S018,2,工作日,1.4,0.6
S018,3,工作日,0.0,1.8
S018,4,工作日,0.4,0.8
S018,5,工作日,2.4,0.8
S018,6,工作日,4.6,5.0
S018,7,工作日,17.6,16.0
S018,8,工作日,16.8,17.2
S018,9,工作日,18.0,18.2
S018,10,工作日,5.4,5.0
S018,11,工作日,8.8,10.0
S018,12,工作日,9.6,9.8
S018,13,工作日,8.8,8.6
S018,14,工作日,4.0,4.6
S018,15,工作日,6.6,5.2
S018,16,工作日,5.2,5.0
S018,17,工作日,12.6,13.6
S018,18,工作日,14.4,14.2
S018,19,工作日,15.8,13.2
S018,20,工作日,5.6,4.6
S018,21,工作日,3.8,3.6
S018,22,工作日,5.4,6.4
S018,23,工作日,4.2,5.0
S019,0,工作日,0.6,1.0
S019,1,工作日,0.8,1.2
S019,2,工作日,1.2,1.0
S019,3,工作日,1.2,0.2
S019,4,工作日,1.2,0.2
S019,5,工作日,1.0,0.4
S019,6,工作日,4.4,5.4
S019,7,工作日,18.6,16.6
S019,8,工作日,17.6,18.0
S019,9,工作日,19.8,17.6
S019,10,工作日,6.0,4.2
S019,11,工作日,8.0,11.8
S019,12,工作日,9.8,8.6
S019,13,工作日,9.0,6.2
S019,14,工作日,5.2,4.4
S019,15,工作日,3.4,4.6
S019,16,工作日,3.8,3.6
S019,17,工作日,15.6,14.0
S019,18,工作日,16.6,15.0
S019,19,工作日,13.8,16.4
S019,20,工作日,4.6,5.2
S019,21,工作日,4.4,4.8
S019,22,工作日,4.0,5.6
S019,23,工作日,4.4,4.4
S020,0,工作日,1.0,0.2
S020,1,工作日,1.4,0.0
S020,2,工作日,2.6,0.2
S020,3,工作日,0.8,0.4
S020,4,工作日,0.0,0.8
S020,5,工作日,1.6,0.6
S020,6,工作日,4.0,6.0
S020,7,工作日,18.2,15.2
S020,8,工作日,19.2,20.0
S020,9,工作日,18.0,16.4
S020,10,工作日,4.4,5.8
S020,11,工作日,9.8,7.8
S020,12,工作日,7.2,10.8
S020,13,工作日,8.6,9.4
S020,14,工作日,5.4,5.2
S020,15,工作日,4.4,4.6
S020,16,工作日,4.0,5.2
S020,17,工作日,14.6,13.2
S020,18,工作日,16.4,13.8
S020,19,工作日,15.0,15.6
S020,20,工作日,5.6,5.0
S020,21,工作日,4.2,6.0
S020,22,工作日,6.2,5.8
S020,23,工作日,3.6,4.8
S021,0,工作日,0.4,0.8
S021,1,工作日,0.4,1.2
S021,2,工作日,0.4,0.6
S021,3,工作日,1.0,0.4
S021,4,工作日,0.8,1.2
S021,5,工作日,0.8,1.6
S021,6,工作日,2.8,6.6
S021,7,工作日,16.4,18.0
S021,8,工作日,17.8,17.0
S021,9,工作日,17.8,17.8
S021,10,工作日,3.8,6.6
S021,11,工作日,9.2,9.2
S021,12,工作日,9.2,8.2
S021,13,工作日,8.4,9.2
S021,14,工作日,5.0,5.0
S021,15,工作日,4.4,5.2
S021,16,工作日,5.8,4.6
S021,17,工作日,16.2,14.6
S021,18,工作日,14.2,15.6
S021,19,工作日,13.4,17.0
S021,20,工作日,4.4,4.4
S021,21,工作日,6.2,6.0
S021,22,工作日,5.2,5.6
S021,23,工作日,6.2,5.6
S022,0,工作日,0.4,0.6
S022,1,工作日,1.0,1.2
S022,2,工作日,1.4,0.6
S022,3,工作日,0.6,0.6
S022,4,工作日,0.4,0.2
S022,5,工作日,0.6,0.8
S022,6,工作日,6.0,4.8
S022,7,工作日,15.6,16.8
S022,8,工作日,16.4,19.4
S022,9,工作日,18.6,16.2
S022,10,工作日,4.4,6.0
S022,11,工作日,10.2,7.0
S022,12,工作日,8.4,8.2
S022,13,工作日,9.2,11.4
S022,14,工作日,5.6,4.8
S022,15,工作日,4.0,5.4
S022,16,工作日,5.4,4.8
S022,17,工作日,14.6,14.6
S022,18,工作日,15.4,13.8
S022,19,工作日,15.4,16.6
S022,20,工作日,6.4,5.4
S022,21,工作日,5.8,5.0
S022,22,工作日,5.4,3.6
S022,23,工作日,4.2,5.2
S023,0,工作日,0.2,0.4
S023,1,工作日,1.4,0.2
S023,2,工作日,0.6,1.0
S023,3,工作日,0.4,0.2
S023,4,工作日,1.2,1.2
S023,5,工作日,0.2,1.2
S023,6,工作日,3.4,6.2
S023,7,工作日,16.0,14.4
S023,8,工作日,15.2,15.4
S023,9,工作日,16.0,15.0
S023,10,工作日,4.6,5.2
S023,11,工作日,9.2,8.0
S023,12,工作日,8.6,8.6
S023,13,工作日,9.0,7.8
S023,14,工作日,4.2,4.0
S023,15,工作日,3.0,5.0
S023,16,工作日,3.6,3.8
S023,17,工作日,13.0,12.2
S023,18,工作日,14.6,13.2
S023,19,工作日,13.8,14.4
S023,20,工作日,5.6,4.4
S023,21,工作日,5.4,4.8
S023,22,工作日,6.2,5.0
S023,23,工作日,6.6,5.2
S024,0,工作日,0.6,0.2
S024,1,工作日,1.4,1.8
S024,2,工作日,0.2,1.4
S024,3,工作日,0.8,1.0
S024,4,工作日,0.0,0.2
S024,5,工作日,1.0,0.0
S024,6,工作日,4.0,5.0
S024,7,工作日,15.8,13.2
S024,8,工作日,16.0,15.8
S024,9,工作日,15.6,15.6
S024,10,工作日,6.6,4.2
S024,11,工作日,9.4,9.4
S024,12,工作日,9.0,10.0
S024,13,工作日,8.8,9.0
S024,14,工作日,5.4,5.2
S024,15,工作日,5.0,5.8
S024,16,工作日,4.8,5.8
S024,17,工作日,15.2,14.2
S024,18,工作日,14.2,14.6
S024,19,工作日,14.6,12.6
S024,20,工作日,4.4,4.6
S024,21,工作日,4.8,6.6
S024,22,工作日,5.4,4.6
S024,23,工作日,6.0,3.8
S025,0,工作日,0.8,1.4
S025,1,工作日,0.8,0.4
S025,2,工作日,0.0,1.0
S025,3,工作日,1.0,1.0
S025,4,工作日,1.0,0.2
S025,5,工作日,1.8,0.6
S025,6,工作日,5.0,5.2
S025,7,工作日,18.0,19.6
S025,8,工作日,17.4,15.4
S025,9,工作日,17.8,19.6
S025,10,工作日,3.8,4.6
S025,11,工作日,8.8,8.0
S025,12,工作日,7.4,10.4
S025,13,工作日,9.2,9.0
S025,14,工作日,6.6,5.0
S025,15,工作日,5.4,4.8
S025,16,工作日,5.4,4.2
S025,17,工作日,15.4,17.0
S025,18,工作日,14.6,15.0
S025,19,工作日,14.6,16.6
S025,20,工作日,4.2,5.2
S025,21,工作日,5.4,4.8
S025,22,工作日,4.4,5.6
S025,23,工作日,4.6,5.8
S026,0,工作日,0.4,0.6
S026,1,工作日,0.6,0.4
S026,2,工作日,1.0,0.6
S026,3,工作日,1.6,1.4
S026,4,工作日,1.2,0.4
S026,5,工作日,0.6,1.2
S026,6,工作日,5.8,4.6
S026,7,工作日,17.0,19.2
S026,8,工作日,17.4,16.8
S026,9,工作日,17.4,17.2
S026,10,工作日,5.4,4.8
S026,11,工作日,8.8,8.2
S026,12,工作日,9.6,8.6
S026,13,工作日,9.2,9.0
S026,14,工作日,6.2,4.6
S026,15,工作日,3.6,4.8
S026,16,工作日,4.8,4.8
S026,17,工作日,15.6,15.0
S026,18,工作日,15.2,15.4
S026,19,工作日,16.8,13.4
S026,20,工作日,5.6,4.8
S026,21,工作日,4.4,5.8
S026,22,工作日,4.0,5.6
S026,23,工作日,6.0,4.8
S027,0,工作日,0.6,1.0
S027,1,工作日,2.8,0.8
S027,2,工作日,1.4,0.0
S027,3,工作日,2.2,0.8
S027,4,工作日,1.0,0.4
S027,5,工作日,1.2,0.8
S027,6,工作日,6.4,4.2
S027,7,工作日,16.0,16.0
S027,8,工作日,16.0,15.0
S027,9,工作日,16.0,14.4
S027,10,工作日,6.4,5.0
S027,11,工作日,8.4,9.4
S027,12,工作日,9.2,10.0
S027,13,工作日,9.4,11.0
S027,14,工作日,7.2,5.8
S027,15,工作日,6.0,5.8
S027,16,工作日,5.2,4.8
S027,17,工作日,14.8,13.6
S027,18,工作日,14.2,12.2
S027,19,工作日,14.4,14.0
S027,20,工作日,4.6,4.8
S027,21,工作日,4.6,6.4
S027,22,工作日,4.4,5.2
S027,23,工作日,6.2,5.2
S028,0,工作日,1.2,0.8
S028,1,工作日,1.2,1.0
S028,2,工作日,0.8,0.2
S028,3,工作日,1.0,1.0
S028,4,工作日,0.6,1.0
S028,5,工作日,1.8,0.2
S028,6,工作日,5.6,5.2
S028,7,工作日,17.0,17.8
S028,8,工作日,17.8,18.6
S028,9,工作日,18.6,17.4
S028,10,工作日,6.6,5.8
S028,11,工作日,8.6,9.6
S028,12,工作日,8.2,8.4
S028,13,工作日,9.6,9.8
S028,14,工作日,3.2,5.8
S028,15,工作日,5.4,5.6
S028,16,工作日,5.6,3.6
S028,17,工作日,14.8,15.4
S028,18,工作日,13.2,15.2
S028,19,工作日,15.0,16.0
S028,20,工作日,4.4,4.8
S028,21,工作日,5.8,5.6
S028,22,工作日,7.0,4.8
S028,23,工作日,5.0,4.8
S029,0,工作日,1.0,0.8
S029,1,工作日,0.8,1.6
S029,2,工作日,1.0,0.6
S029,3,工作日,0.8,0.6
S029,4,工作日,2.8,0.6
S029,5,工作日,0.0,0.4
S029,6,工作日,4.6,3.2
S029,7,工作日,16.4,18.0
S029,8,工作日,17.2,18.0
S029,9,工作日,18.0,19.2
S029,10,工作日,4.8,4.0
S029,11,工作日,8.4,9.0
S029,12,工作日,9.2,9.0
S029,13,工作日,7.8,8.8
S029,14,工作日,3.8,4.2
S029,15,工作日,5.2,4.6
S029,16,工作日,4.4,4.2
S029,17,工作日,15.2,14.0
S029,18,工作日,14.6,13.6
S029,19,工作日,15.8,13.8
S029,20,工作日,5.6,4.6
S029,21,工作日,5.2,5.8
S029,22,工作日,4.8,7.0
S029,23,工作日,4.8,5.6
S030,0,工作日,0.6,1.0
S030,1,工作日,0.8,1.0
S030,2,工作日,0.4,0.4
S030,3,工作日,1.8,0.4
S030,4,工作日,0.0,0.2
S030,5,工作日,0.8,0.2
S030,6,工作日,4.6,4.0
S030,7,工作日,18.0,17.8
S030,8,工作日,18.0,18.0
S030,9,工作日,17.6,15.0
S030,10,工作日,4.2,5.2
S030,11,工作日,9.4,8.6
S030,12,工作日,9.4,9.6
S030,13,工作日,11.0,7.4
S030,14,工作日,4.0,5.0
S030,15,工作日,4.0,3.4
S030,16,工作日,4.4,5.4
S030,17,工作日,14.6,12.0
S030,18,工作日,15.8,14.4
S030,19,工作日,15.8,15.8
S030,20,工作日,5.4,6.4
S030,21,工作日,4.2,5.8
S030,22,工作日,4.2,4.0
S030,23,工作日,5.4,4.0
